person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_term_days,Loan_Status,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE
58,29685,17,18085,6.6,1080,1,0,1,1,0,0,0,0
48,54715,20,24354,12.64,360,1,0,1,0,0,0,0,1
34,21173,13,7415,18.44,1800,1,0,1,0,0,0,0,1
62,47291,13,8493,15.7,3600,0,0,1,1,0,0,0,0
27,61115,7,24175,9.2,3600,0,0,1,0,0,0,1,0
40,35854,22,22984,17.64,360,0,0,1,0,0,0,0,0
58,45515,24,5994,5.79,720,1,1,0,0,1,0,0,0
38,25721,16,30613,19.78,720,0,0,1,0,0,0,0,0
42,62708,17,12709,16.37,3600,1,1,0,0,0,0,0,0
30,112805,14,3070,19.26,3600,1,0,1,0,0,0,1,0
30,30999,9,4987,17.83,360,1,0,0,1,0,0,0,0
43,41208,19,34482,16.57,3600,0,0,1,0,0,0,0,1
55,80945,15,30749,11.63,1800,1,0,1,0,0,0,0,0
59,123903,6,6377,17.11,720,1,0,0,0,1,0,0,0
43,24442,28,25334,6.14,1800,1,1,0,0,0,0,1,0
22,54107,4,4520,8.42,360,1,0,0,0,0,0,1,0
41,70960,16,1865,18.31,1080,1,0,1,0,0,0,0,0
21,56317,0,3503,15.49,360,1,1,0,1,0,0,0,0
43,13547,17,8051,7.8,360,1,1,0,0,1,0,0,0
63,80874,13,19403,11.23,1080,1,1,0,0,0,0,0,1
49,148985,17,33349,15.7,3600,1,1,0,0,0,0,0,1
57,64215,17,33503,16.94,1080,1,1,0,0,0,0,1,0
21,32252,3,18757,17.61,3600,0,0,0,1,0,0,0,0
40,44007,24,1965,7.22,720,1,1,0,0,0,1,0,0
52,173155,10,19664,5.1,1800,1,0,0,0,0,0,0,1
31,103360,25,28004,7.02,720,1,0,0,0,1,0,0,0
41,87905,4,16729,12.38,720,1,0,0,0,0,1,0,0
63,74150,15,12044,18.83,720,1,1,0,0,0,0,1,0
44,40268,7,20099,7.91,720,0,0,1,0,1,0,0,0
68,53085,12,13042,16.57,720,1,0,0,0,0,0,0,1
46,57139,25,6445,15.18,1080,1,0,0,1,0,0,0,0
61,83261,21,30210,19.46,720,1,0,0,0,0,1,0,0
47,148056,26,31505,9.36,720,1,1,0,0,0,0,0,0
35,117125,16,19940,15.29,360,1,1,0,0,0,1,0,0
34,25549,25,32570,5.44,360,0,0,0,0,1,0,0,0
66,68486,8,34739,8.6,360,1,0,0,0,0,0,1,0
63,93158,14,24504,14.38,720,1,0,1,0,1,0,0,0
22,86796,2,6895,19.56,720,1,0,1,0,1,0,0,0
56,41046,26,24156,10.99,1080,1,0,0,0,0,0,1,0
26,344023,17,11171,14.97,720,1,1,0,0,0,0,1,0
40,27826,13,16326,6.1,3600,1,0,0,1,0,0,0,0
